,Stadtviertel,Stadtviertel Latitude,Stadtviertel Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,Stadteil
0,Baum-Siedlung,51.00954166700389,6.903515519764662,Seeberger Pflanzenhof,4c1ca799b306c928742d64b7,51.01415230184751,6.9119383289872545,Garden Center,Seeberg-Süd
1,Baum-Siedlung,51.00954166700389,6.903515519764662,REWE,51f38b705019cb1d6572a49d,51.01131215126019,6.907154690358084,Supermarket,Baum-Siedlung
2,Baum-Siedlung,51.00954166700389,6.903515519764662,Rossmann,503fbd0b7e2752ec471b5607,51.0116046557601,6.90624476880534,Drugstore,Baum-Siedlung
3,Baum-Siedlung,51.00954166700389,6.903515519764662,Haus Thomas,4b52fd83f964a520148c27e3,51.010962939728635,6.896064655526409,Restaurant,Heimersdorf
4,Baum-Siedlung,51.00954166700389,6.903515519764662,Pariser Platz,508161a3e4b07ddb6088c59b,51.01464997062744,6.898006923361252,Plaza,Heimersdorf-Nord
5,Baum-Siedlung,51.00954166700389,6.903515519764662,ALDI SÜD,4d995bd4744f370401ac0558,51.01422494787866,6.892666403395848,Supermarket,Germania Carré
6,Baum-Siedlung,51.00954166700389,6.903515519764662,S Köln Volkhovener Weg,4fa3b6cae4b08e1f87820cbd,51.01493808409536,6.893447011957789,Light Rail Station,Germania Carré
7,Baum-Siedlung,51.00954166700389,6.903515519764662,Primus Service,5f71ecb2ef5c073ee8813614,51.00652957,6.89059204,Food & Drink Shop,GE Lindweiler
8,Paulinenhof,51.00986416832393,7.0009212121046955,FlixBus Haltestelle,531dbcd6498ec1633323e1c8,51.01191122893592,6.998601223292402,Bus Stop,Germania Carré
9,Paulinenhof,51.00986416832393,7.0009212121046955,S Leverkusen Chempark,4b87f7bbf964a520c4d531e3,51.01128053636928,6.9966039111686,Light Rail Station,GI Flittard
10,Paulinenhof,51.00986416832393,7.0009212121046955,Feller's Speisewagen,51399a60e4b0257b5eb83ae5,51.00862179049289,6.996272454431021,Food Truck,GI Flittard
11,Paulinenhof,51.00986416832393,7.0009212121046955,IMPULS,4e246ba752b1f82ffbbbe958,51.01462319659598,6.992648548934394,Athletics & Sports,Germania Carré
12,Paulinenhof,51.00986416832393,7.0009212121046955,LSC Bayer Leverkusen e.V,4df0c8d41838e429ae51995d,51.016670548103534,7.006798024134877,Airport,Germania Carré
13,Paulinenhof,51.00986416832393,7.0009212121046955,Luftsportclub Bayer Leverkusen,4e2aba6daeb745b1fabb2fb3,51.016750753692705,7.00661889097523,Airport,Germania Carré
14,Paulinenhof,51.00986416832393,7.0009212121046955,RTHC Leverkusen,4c2b724db34ad13a2cc4e9ce,51.017278005973175,7.008115861135599,Sports Club,Germania Carré
17,Heimersdorf,51.00787338853237,6.89915657222053,Claessen Floristenbedarf,50b5db62e4b0397531b665f5,51.0044907181614,6.892978563981196,Flower Shop,GE Lindweiler
18,Krawinkel-Siedlung,51.01125962863619,6.8599070063994025,Sundown Beach Club,4c6e9a46d5c3a1cdc4b1c82b,51.007605114755634,6.866508722305298,Beach,Germania Carré
19,Krawinkel-Siedlung,51.01125962863619,6.8599070063994025,Miró,4b07fa48f964a520d30123e3,51.015355219713065,6.858135487704356,Café,Esch
20,Krawinkel-Siedlung,51.01125962863619,6.8599070063994025,EDEKA Kausemann,5029017fe0e2fa47b2e80230,51.0145761,6.8595046,Supermarket,Esch
21,Krawinkel-Siedlung,51.01125962863619,6.8599070063994025,Escher See,4b05886df964a52050c522e3,51.0078818954393,6.863064765930176,Lake,Germania Carré
22,Krawinkel-Siedlung,51.01125962863619,6.8599070063994025,Goebels,4ff70d9ce4b042cc2a440867,51.01548805362659,6.857927652277381,German Restaurant,Esch
23,Krawinkel-Siedlung,51.01125962863619,6.8599070063994025,Donatus Autoglas,539c1bf8498e91468934c380,51.00545120239258,6.870166301727295,Auto Garage,GE Pesch
24,GI Flittard,51.007270365012616,6.983647396659058,Japanischer Garten,4c8b43d71556bfb778940093,51.01143653581801,6.982019609449648,Park,Germania Carré
25,GI Flittard,51.007270365012616,6.983647396659058,Carl-Duisberg-Park,5375dfb311d282139200c633,51.01237766255391,6.985652446746826,Park,Germania Carré
26,GI Flittard,51.007270365012616,6.983647396659058,Restaurant Löwe im Kasino Leverkuen,4e676c9b6365d0e711f73102,51.01367894675563,6.984366233850664,German Restaurant,Germania Carré
27,GI Flittard,51.007270365012616,6.983647396659058,Kasino Hotel Leverkusen,4bd1bc135e0cce72d6e8a184,51.01432295363804,6.985089652690592,Hotel,Germania Carré
28,GI Flittard,51.007270365012616,6.983647396659058,Kantina,5253e335498e1d9eb3012878,51.01351265196043,6.985107377354476,Snack Place,Germania Carré
29,GI Flittard,51.007270365012616,6.983647396659058,ALDI SÜD,5097fc64e4b0d8a7b50614bb,51.00140268535142,6.9876199417161615,Supermarket,Bayer-Siedlung
30,GI Flittard,51.007270365012616,6.983647396659058,Barmenia Versicherung - Tanju Güngör,55de545a498e855cc224e3d0,51.000874624126126,6.984612766864757,Insurance Office,Bayer-Siedlung
31,GI Flittard,51.007270365012616,6.983647396659058,primo espresso Lounge,562e0dae498e2b025182286a,51.01372402019881,6.98551398888655,Coffee Shop,Germania Carré
32,GI Flittard,51.007270365012616,6.983647396659058,Imbiss Athena,5199245d498e69ddbdc94fee,51.000599381098546,6.9876906614032865,BBQ Joint,Bayer-Siedlung
34,GI Flittard,51.007270365012616,6.983647396659058,Ukomm Kommunikationswerkstatt,5f089c3e6c3e205d2ca36ded,51.00263882,6.97270257,Miscellaneous Shop,Flittard
35,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,Cafe Restaurant Waldschenke,559303b4498e9837675fa073,51.01000955910429,7.03597476824671,Restaurant,Siedlung Kunstfeld
36,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,Kölner Putzteufel Gebäudedienste,5dd3d36d440e0800079f4514,51.002815872382584,7.035149931907654,Dry Cleaner,Dünnwald
37,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,CENTERSHOP Köln-Dünnwald,508baffbe4b0ad933ba4c29e,51.002271,7.041581,Shopping Mall,Dünnwald
38,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,Mc Fit Köln Mülheim,522e094f11d234f1566742bf,51.005066249163285,7.023570702423841,Gym,Siedlung Am Donewald
39,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,Star Tankstelle,4dc2d91b887770a6be098476,51.001729,7.041942,Gas Station,Dünnwald
40,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,Coчи,50faf162e4b0a676bb5af1b5,51.001669,7.041959,Eastern European Restaurant,Dünnwald
41,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,H Odenthaler Straße,4f12a4c3e4b0d3f8a6af74d8,51.00165433552442,7.042886099588561,Tram Station,Dünnwald
42,Siedlung Kunstfeld,51.008967063819036,7.034933423306365,Schreinerei Lenartz & Konrath GmbH Köln,5b84e9f747f876002c465bd0,51.000611,7.039606,Construction & Landscaping,Dünnwald
46,Bergheimerhof,51.00744863102427,6.915261611903882,Hotel Bauernschanke,528a986b11d21b165c2f4a00,50.99965734627703,6.911420598851888,Hotel,Alt-Longerich
47,Bergheimerhof,51.00744863102427,6.915261611903882,HS IT Hardware,5f92f80e19170f7c8b862be9,51.00482614,6.90220281,IT Services,Heimersdorf
49,Siedlung Am Donewald,51.00514353837709,7.023809308666949,Ritterspielplatz Köln Dünnwald,58f3854a35f9831804d61efe,51.00111,7.027685,Playground,Siedlung Klosterhof
50,Siedlung Am Donewald,51.00514353837709,7.023809308666949,scheuerhof,50684778e4b0f64645eed93f,51.00506258498233,7.01444926495082,Stables,Germania Carré
52,Siedlung Am Donewald,51.00514353837709,7.023809308666949,Von-Diergardt-See,4c4094dcd691c9b63d668b0a,51.01336991280346,7.0220500230789185,Lake,Germania Carré
53,GE Pesch,51.00486052436899,6.874957125650159,OBI,55eb29f0498e336a343dc8a7,51.00574524074122,6.875161528587341,Hardware Store,GE Pesch
54,GE Pesch,51.00486052436899,6.874957125650159,Lidl,4bb6ecb646d4a59330f8c6c0,51.0029189,6.873933,Supermarket,GE Pesch
55,GE Pesch,51.00486052436899,6.874957125650159,Latio Restaurant,4f10827ee4b0253d4bb59139,50.99777892079525,6.875852752374945,Italian Restaurant,Pesch
57,GE Pesch,51.00486052436899,6.874957125650159,EDEKA,4fec83d4e4b075faa917c426,50.99632948064967,6.872835018174688,Supermarket,Pesch
58,GE Pesch,51.00486052436899,6.874957125650159,ALDI SÜD,4def90af887754a6af959469,51.00429100000003,6.874105702575434,Supermarket,GE Pesch
59,GE Pesch,51.00486052436899,6.874957125650159,Saloniki Grill,520e7511498e5d082472993c,51.00149410784154,6.877479922420024,Greek Restaurant,Pesch
60,GE Pesch,51.00486052436899,6.874957125650159,H Donatusstraße,4fec9673e4b07d369749712e,51.001550032911666,6.877648467048883,Bus Stop,Pesch
61,GE Pesch,51.00486052436899,6.874957125650159,Bäckerei Voosen,50220d1fe4b08518d73c5b1c,51.00149576578309,6.877537781674327,Bakery,Pesch
62,GE Pesch,51.00486052436899,6.874957125650159,Sportplatz Pesch,4fbd2137e4b0ef3c2e651495,51.0018162872434,6.870474034578386,Soccer Field,Germania Carré
63,GE Pesch,51.00486052436899,6.874957125650159,H Otto-Müller-Straße,4fec932be4b0d8e5c86b175e,51.00038227892077,6.879015589877939,Bus Stop,Pesch
65,GE Pesch,51.00486052436899,6.874957125650159,EDEKA Melanie Brück,4e2e9493b0fbdc2b64f7fda8,50.99646982,6.87283997,Supermarket,Pesch
66,Siedlung Klosterhof,51.00272507979361,7.029592701649994,Lidl,4c13c3dc82a3c9b64a05fcf8,50.999696,7.037085,Supermarket,Dünnwald
67,Siedlung Klosterhof,51.00272507979361,7.029592701649994,EDEKA Dünnwald,5be06060666116002ba6f6f5,50.9965082,7.0362756,Supermarket,Germania Carré
70,Siedlung Klosterhof,51.00272507979361,7.029592701649994,H Leuchterstraße,4e3d06191f6e844231df9817,50.99680380244599,7.03785297332534,Tram Station,Dünnwald
71,Siedlung Klosterhof,51.00272507979361,7.029592701649994,Dünnwalder Buch- und Offset-Druckerei A. Brathuhn GmbH,5e16e96618f3220008c09fed,51.001304,7.042719,Print Shop,Dünnwald
79,Lindweiler,51.003548737050025,6.887566238200316,Kreuz Köln-Nord (101) (28),4b5fe718f964a52037d029e3,50.997025,6.891001,Intersection,Germania Carré
82,GE Lindweiler,51.003266853989174,6.89441226572761,S Köln-Longerich,4c3d66d5980320a19a028ce4,50.99819667076855,6.901575029428101,Light Rail Station,Germania Carré
83,GE Lindweiler,51.003266853989174,6.89441226572761,Restaurant Jägerhof,4ecce6c130f84584a019718a,50.99847256205621,6.90281287082189,German Restaurant,Alt-Longerich
85,Auweiler,51.00266502687325,6.853473175623155,Lüpschen Meisterbetrieb Sanitär + Heizung GmbH,5af5b3fc9e0d540039da24bb,51.00203892868609,6.851839154596291,Accessories Store,Auweiler
86,Auweiler,51.00266502687325,6.853473175623155,Laternchen,524d997c11d2ad5219cd9c84,51.002027,6.852297,Restaurant,Auweiler
87,Auweiler,51.00266502687325,6.853473175623155,H Hermann-Löns-Straße,501d6e33e4b0876f2b3f73fb,51.0056,6.853862,Bus Stop,Auweiler
89,Siedlung Hardthof,51.00292493031363,7.0660608401087215,Wyvern Crafts,50c3376ce4b04cc46d1d27f8,51.004150390625,7.06640100479126,Hobby Shop,Siedlung Hardthof
90,Siedlung Hardthof,51.00292493031363,7.0660608401087215,Wildwechsel,58728026ce66aa0389ec053c,50.99485,7.061018,German Restaurant,Siedlung Waldbad
91,Flittard,51.001129188689625,6.977049927312512,Sebastian Hoofs - Maßschneider,5a4cf48217556227e4b5ed48,51.0014507,6.9763771,Tailor Shop,Flittard
92,Flittard,51.001129188689625,6.977049927312512,SUPERPAPERS,5ef2ec93d1870d00088745dc,50.999434,6.981377,Frame Store,Bayer-Siedlung
93,Flittard,51.001129188689625,6.977049927312512,Narrenburg Flittarder KG,591f2f4a89e49063758d108c,51.004355,6.978453,Community Center,Flittard
94,Flittard,51.001129188689625,6.977049927312512,Flittard Beachturnier,51ea688b498e59193bf5c489,50.998569864710156,6.971719586472334,Volleyball Court,Germania Carré
95,Flittard,51.001129188689625,6.977049927312512,Vereinsheim SpVg Köln-Flittard,4ff6ff42e4b0d48ad2a93c90,51.00179,6.985771,Soccer Field,GI Flittard
98,Dünnwald,50.9995260854513,7.044480514301133,Dünnwalder Wildpark,4ccd7a31ba0a548170aa4359,50.99502672792829,7.055497169494629,Zoo Exhibit,Germania Carré
104,Lüttich Kaserne,51.002110508079795,6.9187383439647165,EDEKA Engels,5a69f8636bdee64b13f7562b,50.9974181,6.9140023,Supermarket,Neu-Longerich
105,Lüttich Kaserne,51.002110508079795,6.9187383439647165,REWE,518400b4498e17c22ba72f67,50.99449689580696,6.925860209821735,Supermarket,Gartenstadt-Nord
106,Lüttich Kaserne,51.002110508079795,6.9187383439647165,Restaurant Mühlenhof,51d0684c498e9ec2ba04f9ec,50.99834186803659,6.910287477532488,Gastropub,Alt-Longerich
