,Stadtteil,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,Correct Stadtteil?
0,Seeberg,Seeberger Pflanzenhof,4c1ca799b306c928742d64b7,51.01415230184751,6.911938328987255,Garden Center,True
1,Heimersdorf,REWE,51f38b705019cb1d6572a49d,51.01131215126019,6.907154690358084,Supermarket,True
2,Heimersdorf,Rossmann,503fbd0b7e2752ec471b5607,51.0116046557601,6.90624476880534,Drugstore,True
3,Heimersdorf,Haus Thomas,4b52fd83f964a520148c27e3,51.01096293972864,6.896064655526409,Restaurant,True
4,Heimersdorf,Pariser Platz,508161a3e4b07ddb6088c59b,51.01464997062744,6.898006923361252,Plaza,True
5,Volkhoven/Weiler,ALDI SÜD,4d995bd4744f370401ac0558,51.01422494787866,6.892666403395848,Supermarket,True
6,Heimersdorf,S Köln Volkhovener Weg,4fa3b6cae4b08e1f87820cbd,51.01493808409536,6.893447011957789,Light Rail Station,True
7,Lindweiler,Primus Service,5f71ecb2ef5c073ee8813614,51.00652957,6.89059204,Food & Drink Shop,True
8,Flittard,FlixBus Haltestelle,531dbcd6498ec1633323e1c8,51.01191122893592,6.998601223292402,Bus Stop,True
9,Flittard,S Leverkusen Chempark,4b87f7bbf964a520c4d531e3,51.01128053636928,6.9966039111686,Light Rail Station,True
10,Flittard,Feller's Speisewagen,51399a60e4b0257b5eb83ae5,51.00862179049289,6.996272454431021,Food Truck,True
12,Flittard,LSC Bayer Leverkusen e.V,4df0c8d41838e429ae51995d,51.016670548103534,7.006798024134877,Airport,True
13,Flittard,Luftsportclub Bayer Leverkusen,4e2aba6daeb745b1fabb2fb3,51.01675075369271,7.00661889097523,Airport,True
14,Flittard,RTHC Leverkusen,4c2b724db34ad13a2cc4e9ce,51.017278005973175,7.008115861135599,Sports Club,True
17,Lindweiler,Claessen Floristenbedarf,50b5db62e4b0397531b665f5,51.0044907181614,6.892978563981196,Flower Shop,True
